M1_sees_M2_Angle,M1_sees_M2
145.41254517559454,1
145.41254517559454,1
145.41254517559454,1
145.41254517559454,1
142.19831558378522,1
153.6913812969374,1
164.82388676525215,1
172.5710030730742,1
178.0489385556985,1
163.65391430673765,1
144.40430513958987,1
131.96858339636069,0
124.58312737477743,0
125.43722385628743,0
124.02451635647078,0
121.27201579605067,0
117.63479705532733,0
113.4856898601941,0
111.94497211289645,0
112.79646128509584,0
113.93999282419071,0
116.55064396631337,0
119.31415934776258,0
123.6525898011045,0
126.77986177518564,0
129.8297499637731,0
131.88217045778288,0
133.47993652970382,0
133.54943519932974,0
134.41597213924626,0
137.52164106967027,1
141.2564997241777,1
144.46209150574364,1
147.873571702257,1
151.15634372314875,1
153.37838199023722,1
153.7937866361611,1
152.54361510097473,1
152.59099267227572,1
153.32050608985617,1
154.9987587968769,1
156.4690335109349,1
157.5507709362827,1
158.1761289804004,1
158.59593349785473,1
158.68345593187647,1
157.50265175110096,1
157.9614674856137,1
157.49961996003935,1
157.6806313485532,1
157.09678302461106,1
157.9641975806526,1
157.24211406046504,1
156.8311376458784,1
156.0529213411054,1
156.82345115829756,1
157.77307081936522,1
157.98051665238657,1
158.84177849901224,1
156.83522243910897,1
143.29586509852317,1
127.77350324934682,0
123.4564246903809,0
130.3979654330965,0
132.4013837158224,0
132.22031476358202,0
130.78141270142342,0
130.628445743651,0
129.70535761085597,0
129.2004346810121,0
129.80501521660108,0
131.26706765219862,0
131.88646277817253,0
130.47942994214208,0
130.35167860106696,0
130.34113651545647,0
129.77411959040202,0
128.30944279394714,0
127.8033443298602,0
130.29750287850112,0
131.42626604302023,0
132.87980021386807,0
130.63103162078352,0
130.0774480214242,0
129.09488055196007,0
129.0884601711991,0
126.70784839203992,0
124.96008528994913,0
125.40903793383342,0
125.45689660682217,0
123.92522256665359,0
121.71437685812172,0
120.02796122644361,0
119.04526784811166,0
117.04095191486927,0
116.8431954346194,0
116.81821190500023,0
117.74163966903156,0
117.22502057240752,0
115.92962369067641,0
113.89125057341255,0
114.0817670622187,0
112.42491497178396,0
108.75981440851571,0
104.42272169285104,0
102.84605383547128,0
100.21910006095939,0
99.24334913490304,0
98.77300608537448,0
96.35300175383986,0
92.74397311976279,0
92.29652080839014,0
94.10171309320285,0
92.38798362200636,0
88.25593905734361,0
86.50772663161257,0
90.30703958717335,0
91.9391937038879,0
89.10485785463169,0
86.1209268238509,0
87.30037907686292,0
89.47467943721436,0
92.00903227861384,0
94.46956652829112,0
95.04068942366898,0
96.88953396062865,0
96.67484527530122,0
96.97767554120932,0
98.26471468527667,0
103.80054448793938,0
111.93718112945425,0
124.56425974230103,0
136.11202297300727,1
146.8982641065886,1
152.77245584683078,1
155.0973096896436,1
154.54760326196126,1
152.86294651991727,1
153.56072658240964,1
151.71053063176615,1
154.48362222870043,1
157.38323644197496,1
161.98760301045428,1
163.78358779776002,1
163.596713430845,1
164.2454113659774,1
165.45923993430281,1
169.47097176993867,1
168.516730279358,1
166.1541932222904,1
163.99083907013,1
163.48556179238878,1
162.5371006667258,1
163.87273579196386,1
165.57551066017197,1
166.4121426089726,1
166.17672456853592,1
170.07720316058408,1
170.85981123588195,1
171.8019174362205,1
170.39054337044695,1
168.1257662907543,1
161.36975036082833,1
156.7503794465448,1
157.2369015860362,1
160.72690631801555,1
162.07060127473414,1
159.8027988150227,1
157.60868005250117,1
157.7055453855095,1
159.42823662080386,1
159.3467529903093,1
156.77168691594065,1
153.70692681348555,1
153.78096869874457,1
154.44048342223928,1
157.6019420820445,1
155.89814954486386,1
154.02486249081636,1
149.93011057098224,1
148.978891463058,1
149.99287494901967,1
149.82543750937214,1
149.94948598498556,1
147.67491251948664,1
147.50078283474627,1
144.99035796668178,1
142.97674674930641,1
139.9299103670345,1
136.6669170897379,1
137.79984437746515,1
136.52109216011388,1
136.9659389449111,1
133.7399592703995,0
133.04190272393754,0
130.11360727985962,0
126.66334692226405,0
127.95160189957926,0
124.26943688906105,0
122.95700882060923,0
118.51597703315934,0
117.1459039561213,0
113.06673962389485,0
109.11844368477459,0
108.29376185930269,0
109.47283471916849,0
111.40983445025908,0
108.95847077475025,0
109.8160560331578,0
110.09476987677024,0
109.07148188922318,0
107.9267795718575,0
106.93298125898623,0
104.24528711256218,0
102.1492236703413,0
104.82206017962835,0
108.67767488854831,0
110.6965514444157,0
111.38944824335312,0
116.38215411497217,0
121.46507130834422,0
123.26551077508303,0
122.59011906704274,0
124.04107218166513,0
130.48834208066359,0
139.24663518217696,1
143.49834368652625,1
141.6491833372306,1
141.69782263022526,1
144.39107075943014,1
145.70202898950865,1
146.6620339972435,1
148.06260317105463,1
156.1855619665749,1
164.78817358397512,1
173.95152413659085,1
178.1093220282913,1
177.88836319706337,1
175.77492668588312,1
173.2746758953386,1
173.33467765872498,1
171.5391740897219,1
169.38565614482155,1
167.28637544341055,1
167.95088622419405,1
168.37712945614373,1
171.5581130812347,1
175.76685349534603,1
179.2174662847273,1
179.40826113058222,1
175.87513607525267,1
167.59456917444592,1
163.14699082091036,1
157.43943656843845,1
153.6815849587709,1
148.59840358348757,1
150.83609749498348,1
154.29014122638512,1
156.92958652587265,1
154.105819364641,1
149.97316987065648,1
147.681181137801,1
147.41862733977112,1
148.83558588881002,1
149.98593212059768,1
150.40286940818112,1
151.8903250588363,1
155.48688549316972,1
156.0328104914792,1
155.30566695927328,1
154.93865026562304,1
153.96786268544685,1
153.17076453103763,1
153.954486466789,1
156.41796667686467,1
158.01613610443252,1
159.12801469247367,1
159.58305598203987,1
159.80686456232152,1
160.65416620313627,1
161.39684815680124,1
162.45998063697002,1
162.56095078762718,1
162.36258459819987,1
162.45850281840407,1
162.49422718128955,1
163.96358545917803,1
165.72230942357015,1
168.3139599789712,1
170.38555034408887,1
172.0539590572045,1
173.3491463354644,1
174.3026051398211,1
175.7472102237922,1
177.54233805372883,1
176.36383344180805,1
171.90285330686385,1
169.32659675231432,1
175.8463076091512,1
179.8137465768331,1
179.6511085703431,1
178.54535849485046,1
177.67119919592045,1
175.6748750490599,1
176.2558032700269,1
177.17322646200293,1
176.38966240602312,1
173.4952186156655,1
171.60017826000137,1
171.28919134582557,1
169.99873263565,1
167.88290516762385,1
161.85481408174937,1
153.42915292795658,1
145.56124531066604,1
143.38213863683117,1
141.39853689465116,1
139.7272061431257,1
137.11145165569968,1
135.98454415667197,1
139.14801219326696,1
144.86440821451626,1
