M1_sees_M2_Angle,M1_sees_M2
94.6917984561832,0
99.90601495084341,0
90.46399750192938,0
104.45597607300847,0
116.19461584583982,0
19.936706763589363,0
19.89011840951399,0
164.0754881473578,1
171.29250415495352,2
162.3682513209168,2
159.36487842496555,1
163.99074278428463,1
155.05128011137367,1
38.95522583136092,0
160.90045945409494,1
159.27206010451164,1
157.41130018137605,2
159.1513626722262,1
159.95479093702778,1
153.20828802534706,1
164.53812119014313,1
169.56447672624194,1
168.67301121443748,1
166.2914491422272,1
163.22373430917796,1
159.95614950905303,1
151.6880232717282,1
147.86385633163403,1
146.73771523109733,1
144.64836160739557,1
146.80733501319352,1
145.8804874921985,1
143.9776855161963,1
139.75648251173246,1
137.08209055321714,1
133.5453089963609,0
132.66570204661613,0
133.39710924103778,0
136.62285152588188,1
141.1335434612024,1
138.89379028011092,1
136.069413440542,1
134.3780688148613,0
131.62545408021907,0
131.01715086751693,0
131.34150675940222,0
130.44412488453392,0
132.63221771506963,0
133.05486219540782,0
130.77782554253199,0
130.98570187453205,0
129.8442772065433,0
130.0512895273126,0
129.62266296978797,0
131.35572711332725,0
130.22476998480212,0
129.50400163148967,0
126.78687260336758,0
120.68345530875843,0
110.36731847100889,0
105.79383464913458,0
112.79475859249972,0
101.05376528393083,0
100.63104398812617,0
99.29578970859478,0
96.77715543160157,0
105.19502170734815,0
100.07717810313761,0
101.3797738063709,0
96.78364166464365,0
101.54057625752777,0
100.57834562366666,0
101.36714771394675,0
99.01320596399995,0
92.87013246493277,0
91.23808599623024,0
92.90906756816302,0
94.83053154715687,0
90.1312853307565,0
98.07860780195142,0
101.11871265891433,0
92.66410614857745,0
89.5006285268788,0
82.50425716013544,0
74.74910333527765,0
80.21923210464526,0
88.79587967093903,0
81.87659792144323,0
73.52713550241944,0
82.4412317487814,0
82.38249337841255,0
75.60468971599796,0
68.1451744994271,0
62.07454107154521,0
75.1300899636329,0
71.62016041143555,0
73.4304515067338,0
65.64248196701527,0
75.24035901219456,0
75.40175136229777,0
77.19875824536744,0
79.82307807942323,0
74.23962633470508,0
70.00123613264422,0
62.127333097959756,0
81.68883632627936,0
110.67093449159417,0
124.26529832686404,0
142.75710972182836,1
155.46772348500446,1
169.0156346335696,1
175.66743036465277,1
165.7845030863828,1
156.9456966340458,1
159.396752175385,1
161.3785079545969,1
142.4544587723313,1
150.50682648360655,1
138.65193771995123,1
119.1579343395692,0
111.21826122626932,0
95.65342022083989,0
104.63547055701015,0
93.05074792744442,0
92.322782709394,0
81.7251365838049,0
84.9965255888636,0
84.83413966115576,0
71.67206156574541,0
71.08731059202297,0
69.27155093830065,0
44.01610570980419,0
70.21364885613505,0
68.96632378349521,0
60.626965000929374,0
60.970636626743094,0
50.64379710866541,0
58.76747827360915,0
48.44846242011752,0
61.46207346758776,0
51.04795644055126,0
64.64220333310149,0
59.45702454293326,0
68.7523892773121,0
61.52592013918478,0
47.40751179967695,0
40.73407153516912,0
35.23086069484507,0
49.99128497591512,0
39.55394022812295,0
44.93098344685213,0
54.62226842183618,0
50.5877668899597,0
52.02653972880756,0
68.95988533434277,0
68.39954942708448,0
62.714221651748225,0
57.20735839382166,0
61.37573478280739,0
55.44511771770541,0
55.680471718721044,0
102.66714494950604,0
112.21989719994767,2
105.28385580704146,2
121.07706057132256,0
121.18008522207212,0
127.42493344309332,0
118.62435050947683,0
125.58757819404657,0
112.33266689200016,0
110.38018728834001,0
113.68927130101031,0
115.54389404181266,0
120.05189890250224,0
100.86237688737891,0
104.86328156692034,0
102.32780563996961,0
103.06052134609855,0
99.5918225234412,0
103.55046605643938,0
110.78223050879343,0
110.73034814682555,0
124.62350135488882,0
130.85123098055283,0
142.54161743197216,1
138.5256437470386,1
141.30697756449413,1
137.7400384758989,1
134.22488869797954,0
149.3745085619222,1
176.95931865226373,1
179.1551826728692,1
170.81650547706133,1
168.24886568837758,1
176.99619655773745,1
177.3826474677109,1
161.3548689565254,1
150.8851457179991,1
154.75548834861416,1
145.9688492119946,1
157.16862382962896,1
143.6714006502712,1
144.16326188190826,1
142.18560217063458,1
140.3279861136317,1
141.21176814336653,1
155.5564331045742,1
170.5906336232749,1
169.3327446778319,1
168.09293195572525,1
171.57047092946985,1
172.89108266657198,1
173.73963743573663,1
171.54388399724832,1
166.1849939980679,1
162.76208319001782,1
160.7596351996766,1
163.18464195889456,1
158.48476065834774,1
174.35951542604963,1
179.28642213907085,1
176.96919041279043,1
167.417454765744,1
163.8254173278898,1
170.11324249530568,1
175.03034339529145,1
179.21969794069943,1
19.83282881406818,0
164.54833731521703,1
160.4864489542543,1
156.90663500581928,2
161.04601333704574,1
159.48909003084447,1
174.79975029565773,1
163.39224915088042,1
179.62058760855197,1
173.66657737737825,1
176.16366835330862,1
153.14650630481972,1
137.90275057677954,1
137.84485608476754,1
117.83440483024967,0
109.46837935037628,0
99.96366270315782,0
90.56721290553293,0
94.39511352474359,0
90.36205602708571,0
82.72153065515683,0
95.66862094646042,0
93.45206620672684,0
88.25740288704897,0
86.59436725595502,0
83.97976395255301,0
71.32827482403165,0
69.87061593832163,0
82.27840964136922,0
88.83368055400705,0
81.81807889639822,0
78.46277045864709,0
75.3486795387799,0
75.64399165060266,0
62.3839860533029,0
